HourNum	Date	O3Level	
979	20000211	0.02	
980	20000211	0.025	
981	20000211	0.025	
982	20000211	0.026	
983	20000211	0.026	
984	20000211	0.024	
985	20000211	0.019	
986	20000211	0.015	
987	20000211	0.016	
988	20000211	0.018	
989	20000211	0.023	
990	20000211	0.027	
991	20000211	0.028	
992	20000211	0.03	
993	20000211	0.026	
994	20000211	0.021	
995	20000211	0.017	
996	20000211	0.011	
997	20000211	0.009	
998	20000211	0.008	
999	20000211	0.011	
1000	20000211	0.009	
1001	20000211	0.011	
1002	20000211	0.008	
1003	20000212	0.004	
1004	20000212	0.003	
1005	20000212	0.003	
1006	20000212	0.003	
1007	20000212	0.003	
1008	20000212	0.003	
1009	20000212	0.003	
1010	20000212	0.005	
1011	20000212	0.012	
1012	20000212	0.021	
1013	20000212	0.03	
1014	20000212	0.034	
1015	20000212	0.039	
1016	20000212	0.04	
1017	20000212	0.039	
1018	20000212	0.036	
1019	20000212	0.032	
1020	20000212	0.026	
1021	20000212	0.02	
1022	20000212	0.014	
1023	20000212	0.017	
1024	20000212	0.02	
1025	20000212	0.019	
1026	20000212	0.016	
1027	20000213	0.014	
1028	20000213	0.011	
1029	20000213	0.013	
1030	20000213	0.009	
1031	20000213	0.005	
1032	20000213	0.004	
1033	20000213	0.004	
1034	20000213	0.005	
1035	20000213	0.005	
1036	20000213	0.006	
1037	20000213	0.007	
1038	20000213	0.01	
1039	20000213	0.011	
1040	20000213	0.012	
1041	20000213	0.014	
1042	20000213	0.016	
1043	20000213	0.013	
1044	20000213	0.013	
1045	20000213	0.013	
1046	20000213	0.016	
1047	20000213	0.019	
1048	20000213	0.016	
1049	20000213	0.011	
1050	20000213	0.016	
1051	20000214	0.02	
1052	20000214	0.018	
1053	20000214	0.017	
1054	20000214	0.016	
1055	20000214	0.02	
1056	20000214	0.028	
1057	20000214	0.024	
1058	20000214	0.019	
1059	20000214	0.004	
1060	20000214	0.01	
1061	20000214	0.016	
1062	20000214	0.016	
1063	20000214	0.015	
1064	20000214	0.021	
1065	20000214	0.021	
1066	20000214	0.023	
1067	20000214	0.029	
1068	20000214	0.022	
1069	20000214	0.009	
1070	20000214	0.005	
1071	20000214	0.004	
1072	20000214	0.003	
1073	20000214	0.003	
1074	20000214	0.003	
1075	20000215	0.003	
1076	20000215	0.003	
1077	20000215	0.005	
1078	20000215	0.003	
1079	20000215	0.003	
1080	20000215	0.004	
1081	20000215	0.004	
1082	20000215	0.005	
1083	20000215	0.01	
1084	20000215	0.016	
1085	20000215	0.022	
1086	20000215	0.024	
1087	20000215	0.022	
1088	20000215	0.021	
1089	20000215	0.019	
1090	20000215	0.016	
1091	20000215	0.012	
1092	20000215	0.005	
1093	20000215	0.004	
1094	20000215	0.006	
1095	20000215	0.011	
1096	20000215	0.013	
1097	20000215	0.011	
1098	20000215	0.018	
1099	20000216	0.02	
1100	20000216	0.018	
1101	20000216	0.015	
1102	20000216	0.017	
1103	20000216	0.018	
1104	20000216	0.026	
1105	20000216	0.027	
1106	20000216	0.023	
1107	20000216	0.024	
1108	20000216	0.027	
1109	20000216	0.028	
1110	20000216	0.027	
1111	20000216	0.029	
1112	20000216	0.028	
1113	20000216	0.026	
1114	20000216	0.024	
1115	20000216	0.012	
1116	20000216	0.005	
1117	20000216	0.003	
1118	20000216	0.003	
1119	20000216	0.003	
1120	20000216	0.003	
1121	20000216	0.004	
1122	20000216	0.004	
1123	20000217	0.004	
1124	20000217	0.004	
1125	20000217	0.005	
1126	20000217	0.003	
1127	20000217	0.003	
1128	20000217	0.003	
1129	20000217	0.003	
1130	20000217	0.005	
1131	20000217	0.014	
1132	20000217	0.015	
1133	20000217	0.017	
1134	20000217	0.03	
1135	20000217	0.027	
1136	20000217	0.019	
1137	20000217	0.017	
1138	20000217	0.013	
1139	20000217	0.017	
1140	20000217	0.017	
1141	20000217	0.018	
1142	20000217	0.012	
1143	20000217	0.006	
1144	20000217	0.018	
1145	20000217	0.021	
1146	20000218	0.019	
1147	20000218	0.023	
1148	20000218	0.011	
1149	20000218	0.008	
1150	20000218	0.015	
1151	20000218	0.019	
1152	20000218	0.018	
1153	20000218	0.015	
1154	20000218	0.017	
1155	20000218	0.018	
1156	20000218	0.021	
1157	20000218	0.028	
1158	20000218	0.029	
1159	20000218	0.026	
1160	20000218	0.025	
1161	20000218	0.03	
1162	20000218	0.031	
1163	20000218	0.028	
1164	20000218	0.027	
1165	20000218	0.03	
1166	20000218	0.033	
1167	20000218	0.037	
1168	20000218	0.039	
1169	20000218	0.038	
1170	20000219	0.037	
1171	20000219	0.038	
1172	20000219	0.036	
1173	20000219	0.028	
1174	20000219	0.008	
1175	20000219	0.006	
1176	20000219	0.006	
1177	20000219	0.009	
1178	20000219	0.014	
1179	20000219	0.018	
1180	20000219	0.022	
1181	20000219	0.032	
1182	20000219	0.035	
1183	20000219	0.044	
1184	20000219	0.046	
1185	20000219	0.045	
1186	20000219	0.045	
1187	20000219	0.042	
1188	20000219	0.039	
1189	20000219	0.037	
1190	20000219	0.038	
1191	20000219	0.03	
1192	20000219	0.038	
1193	20000219	0.039	
1194	20000220	0.043	
1195	20000220	0.04	
1196	20000220	0.039	
1197	20000220	0.037	
1198	20000220	0.035	
1199	20000220	0.031	
1200	20000220	0.036	
1201	20000220	0.038	
1202	20000220	0.042	
1203	20000220	0.043	
1204	20000220	0.045	
1205	20000220	0.047	
1206	20000220	0.047	
1207	20000220	0.05	
1208	20000220	0.055	
1209	20000220	0.055	
1210	20000220	0.046	
1211	20000220	0.041	
1212	20000220	0.034	
1213	20000220	0.032	
1214	20000220	0.014	
1215	20000220	0.009	
1216	20000220	0.005	
1217	20000220	0.007	
1218	20000221	0.004	
1219	20000221	0.005	
1220	20000221	0.005	
1221	20000221	0.008	
1222	20000221	0.017	
1223	20000221	0.017	
1224	20000221	0.011	
1225	20000221	0.013	
1226	20000221	0.022	
1227	20000221	0.027	
1228	20000221	0.031	
1229	20000221	0.032	
1230	20000221	0.033	
1231	20000221	0.03	
1232	20000221	0.025	
1233	20000221	0.026	
1234	20000221	0.019	
1235	20000221	0.016	
1236	20000221	0.022	
1237	20000221	0.023	
1238	20000221	0.022	
1239	20000221	0.025	
1240	20000221	0.023	
1241	20000221	0.025	
1242	20000222	0.027	
