HourNum	Date	O3Level
1150	20000218	0.018
1151	20000218	0.021
1152	20000218	0.028
1153	20000218	0.029
1154	20000218	0.026
1155	20000218	0.025
1156	20000218	0.03
1157	20000218	0.031
1158	20000218	0.028
1159	20000218	0.027
1160	20000218	0.03
1161	20000218	0.033
1162	20000218	0.037
1163	20000218	0.039
1164	20000218	0.038
1165	20000219	0.037
1166	20000219	0.038
1167	20000219	0.036
1168	20000219	0.028
1169	20000219	0.008
1170	20000219	0.006
1171	20000219	0.006
1172	20000219	0.009
1173	20000219	0.014
1174	20000219	0.018
1175	20000219	0.022
1176	20000219	0.032
1177	20000219	0.035
1178	20000219	0.044
1179	20000219	0.046
1180	20000219	0.045
1181	20000219	0.045
1182	20000219	0.042
1183	20000219	0.039
1184	20000219	0.037
1185	20000219	0.038
1186	20000219	0.03
1187	20000219	0.038
1188	20000219	0.039
1189	20000220	0.043
1190	20000220	0.04
1191	20000220	0.039
1192	20000220	0.037
1193	20000220	0.035
1194	20000220	0.031
1195	20000220	0.036
1196	20000220	0.038
1197	20000220	0.042
1198	20000220	0.043
1199	20000220	0.045
1200	20000220	0.047
1201	20000220	0.047
1202	20000220	0.05
1203	20000220	0.055
1204	20000220	0.055
1205	20000220	0.046
1206	20000220	0.041
1207	20000220	0.034
1208	20000220	0.032
1209	20000220	0.014
1210	20000220	0.009
1211	20000220	0.005
1212	20000220	0.007
1213	20000221	0.004
1214	20000221	0.005
1215	20000221	0.005
1216	20000221	0.008
1217	20000221	0.017
1218	20000221	0.017
1219	20000221	0.011
1220	20000221	0.013
1221	20000221	0.022
1222	20000221	0.027
1223	20000221	0.031
1224	20000221	0.032
1225	20000221	0.033
1226	20000221	0.03
1227	20000221	0.025
1228	20000221	0.026
1229	20000221	0.019
1230	20000221	0.016
1231	20000221	0.022
1232	20000221	0.023
1233	20000221	0.022
1234	20000221	0.025
1235	20000221	0.023
1236	20000221	0.025
1237	20000222	0.027
1238	20000222	0.026
1239	20000222	0.025
1240	20000222	0.023
1241	20000222	0.017
1242	20000222	0.012
1243	20000222	0.008
1244	20000222	0.006
1245	20000222	0.009
1246	20000222	0.016
1247	20000222	0.024
1248	20000222	0.028
